               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089686,            0.032614,            0.054513,             0.52406,             0.31342,             0.28065,             0.12035,            0.057259,             0.02109,            0.040583,            0.070205,           0.0033105,           0.0033105
                   1,            0.062382,            0.024743,            0.035386,             0.53193,             0.54006,             0.48505,              0.1819,            0.055678,            0.014289,            0.023073,             0.04014,           0.0065781,           0.0065781
                   2,            0.062147,            0.019811,            0.022637,             0.61975,             0.56242,             0.54443,              0.2499,            0.053765,            0.012765,            0.016027,            0.010008,           0.0097796,           0.0097796
                   3,            0.056316,            0.018277,            0.015506,              0.6694,             0.68033,             0.64229,             0.29488,            0.044114,            0.011841,            0.011071,            0.009703,            0.009703,            0.009703
                   4,            0.050181,            0.017223,            0.011367,             0.72089,             0.73886,             0.72004,              0.3462,             0.04301,            0.011965,             0.01003,            0.009703,            0.009703,            0.009703
                   5,            0.045713,            0.015902,           0.0092512,             0.84221,             0.76006,              0.8041,             0.44105,             0.03806,            0.011192,           0.0079713,            0.009604,            0.009604,            0.009604
                   6,            0.042741,            0.015563,           0.0085886,             0.86166,             0.77133,             0.81476,             0.42122,            0.036682,            0.011332,           0.0075228,            0.009505,            0.009505,            0.009505
                   7,            0.040895,            0.015466,           0.0074656,             0.88284,             0.79576,             0.78608,             0.45361,             0.03585,            0.010978,           0.0080182,            0.009406,            0.009406,            0.009406
                   8,            0.039714,            0.014785,           0.0067771,              0.8873,             0.77862,             0.81157,             0.47074,            0.035134,            0.010694,           0.0066794,            0.009307,            0.009307,            0.009307
                   9,            0.037322,             0.01501,           0.0067886,             0.89319,             0.78459,             0.82299,             0.50758,            0.029025,            0.010666,           0.0068095,            0.009208,            0.009208,            0.009208
                  10,            0.036998,            0.015311,           0.0061277,              0.8478,             0.79369,             0.86042,              0.5044,            0.032621,            0.011007,           0.0064258,            0.009109,            0.009109,            0.009109
