               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1043,            0.024943,            0.058362,           0.0040984,              0.1658,            0.007847,           0.0018079,             0.08061,            0.019551,            0.047553,            0.070411,           0.0032877,           0.0032877
                   1,            0.064589,             0.02533,            0.044577,             0.51849,             0.27373,             0.25821,             0.08995,            0.055407,            0.015306,            0.037204,            0.040378,           0.0065882,           0.0065882
                   2,            0.061852,            0.018252,            0.037208,             0.47562,             0.36383,             0.25473,             0.08757,            0.063032,            0.011302,            0.029512,            0.010312,           0.0098558,           0.0098558
                   3,            0.057986,            0.015899,            0.029254,             0.50676,             0.58273,             0.46725,             0.19232,            0.053709,            0.011374,            0.019973,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053394,            0.014445,            0.022677,             0.51863,             0.61455,             0.55515,             0.26181,            0.051514,           0.0099443,            0.015736,           0.0098515,           0.0098515,           0.0098515
                   5,              0.0488,            0.013663,            0.017986,             0.71912,             0.71287,              0.6948,             0.37465,            0.043745,           0.0096183,            0.013692,            0.009802,            0.009802,            0.009802
                   6,            0.045675,            0.013389,            0.015682,             0.76663,              0.6521,              0.6922,             0.35595,            0.042187,           0.0090689,            0.011184,           0.0097525,           0.0097525,           0.0097525
                   7,              0.0437,             0.01307,            0.013726,             0.72699,             0.65744,             0.67422,             0.33655,            0.039731,            0.009153,           0.0097925,            0.009703,            0.009703,            0.009703
                   8,            0.042469,            0.012964,            0.012076,             0.78332,             0.73078,             0.72469,             0.39154,             0.03585,            0.008589,           0.0086214,           0.0096535,           0.0096535,           0.0096535
                   9,            0.041258,            0.012415,            0.009971,             0.77394,             0.74328,             0.72239,             0.35101,            0.038837,           0.0086438,           0.0077563,            0.009604,            0.009604,            0.009604
                  10,            0.040933,            0.012284,           0.0096459,             0.78542,             0.70863,              0.7253,             0.39761,            0.035667,           0.0087422,           0.0079847,           0.0095545,           0.0095545,           0.0095545
                  11,            0.039956,            0.012305,           0.0085356,             0.86789,             0.75536,             0.78176,             0.45969,            0.034243,           0.0084405,           0.0066393,            0.009505,            0.009505,            0.009505
                  12,            0.038399,            0.011851,           0.0080314,             0.89962,             0.74667,             0.79289,              0.4459,             0.03493,           0.0080243,           0.0062403,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037285,            0.011677,            0.008497,             0.88277,              0.7532,             0.80736,             0.45044,            0.032643,           0.0083446,            0.005858,            0.009406,            0.009406,            0.009406
                  14,            0.037163,            0.011457,            0.007424,             0.89041,             0.73707,             0.79258,             0.49285,            0.032079,           0.0083928,           0.0062243,           0.0093565,           0.0093565,           0.0093565
                  15,            0.036591,            0.011735,           0.0070837,             0.84774,             0.76635,             0.78547,             0.49405,            0.030257,           0.0084057,           0.0057302,            0.009307,            0.009307,            0.009307
                  16,            0.036701,            0.012031,           0.0067615,             0.85142,             0.77817,             0.79074,             0.44411,            0.033987,           0.0080935,           0.0051755,           0.0092575,           0.0092575,           0.0092575
                  17,            0.035517,            0.011309,           0.0076831,              0.8744,             0.76685,             0.80679,             0.45717,            0.035196,           0.0079065,           0.0052534,            0.009208,            0.009208,            0.009208
                  18,            0.035891,            0.011824,           0.0065621,              0.8648,             0.80438,             0.79817,             0.46856,            0.032183,           0.0078976,           0.0051381,           0.0091585,           0.0091585,           0.0091585
                  19,            0.034165,            0.011506,           0.0067474,             0.91999,             0.76036,             0.81415,             0.49876,            0.030123,           0.0079765,           0.0049223,            0.009109,            0.009109,            0.009109
                  20,            0.033371,            0.011556,           0.0058278,             0.91008,             0.76643,             0.81189,             0.50105,            0.028753,           0.0076439,           0.0047546,           0.0090595,           0.0090595,           0.0090595
                  21,            0.033456,            0.011564,           0.0057079,             0.87104,             0.80884,              0.8144,             0.51821,            0.029925,           0.0078247,           0.0038794,             0.00901,             0.00901,             0.00901
                  22,            0.033397,            0.011235,           0.0067572,             0.90946,             0.78319,             0.82409,             0.50092,            0.029722,           0.0076636,           0.0042155,           0.0089605,           0.0089605,           0.0089605
                  23,             0.03281,              0.0115,           0.0062154,              0.8803,             0.75712,              0.8329,             0.51865,            0.028413,           0.0081802,           0.0045566,            0.008911,            0.008911,            0.008911
