               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1043,            0.024943,            0.058362,           0.0040984,              0.1658,            0.007847,           0.0018079,             0.08061,            0.019551,            0.047553,            0.070411,           0.0032877,           0.0032877
                   1,            0.065068,            0.025312,              0.0448,             0.53001,             0.17541,             0.21373,            0.082045,            0.064299,            0.014172,            0.037222,            0.040345,           0.0065555,           0.0065555
                   2,            0.061557,            0.018259,            0.037468,             0.39367,             0.36305,             0.30221,             0.12155,            0.060329,            0.011199,            0.028525,            0.010214,           0.0097572,           0.0097572
                   3,             0.05723,             0.01587,            0.029589,             0.40755,             0.53378,             0.40811,             0.14917,            0.050356,            0.010845,            0.020626,            0.009703,            0.009703,            0.009703
                   4,            0.052509,            0.014413,            0.022601,             0.45901,             0.64029,             0.44561,             0.17993,            0.049999,           0.0097098,            0.015366,            0.009703,            0.009703,            0.009703
                   5,            0.048697,            0.013446,             0.01751,             0.66118,             0.68703,             0.61112,             0.29555,            0.042063,           0.0092611,            0.012965,            0.009604,            0.009604,            0.009604
                   6,            0.045675,            0.013171,            0.015376,             0.72989,             0.70397,             0.68858,             0.35164,            0.042036,           0.0090635,            0.011044,            0.009505,            0.009505,            0.009505
                   7,            0.043204,            0.013029,            0.013406,             0.80712,             0.71083,             0.71072,             0.36717,            0.037316,           0.0093614,            0.010863,            0.009406,            0.009406,            0.009406
                   8,            0.041862,            0.012994,            0.011753,             0.81835,             0.71969,             0.73551,             0.38327,            0.037314,           0.0087185,           0.0089236,            0.009307,            0.009307,            0.009307
                   9,            0.041212,            0.012532,            0.010547,             0.87971,             0.73991,             0.77689,             0.43582,            0.035483,           0.0085077,           0.0080541,            0.009208,            0.009208,            0.009208
                  10,            0.039723,            0.012454,           0.0091073,             0.79326,             0.77712,             0.77126,             0.40333,            0.034682,           0.0085693,           0.0071039,            0.009109,            0.009109,            0.009109
                  11,            0.039541,            0.012248,           0.0088239,             0.88361,             0.75447,             0.77629,             0.43647,            0.034576,           0.0084938,           0.0073721,             0.00901,             0.00901,             0.00901
                  12,            0.037975,            0.011791,           0.0079388,             0.78127,             0.73982,             0.74588,               0.415,             0.03722,           0.0080652,           0.0081863,            0.008911,            0.008911,            0.008911
                  13,            0.037166,            0.011913,           0.0083213,             0.88321,             0.71977,             0.77312,             0.43945,            0.031508,           0.0082065,           0.0073905,            0.008812,            0.008812,            0.008812
                  14,            0.036963,             0.01134,           0.0074606,               0.872,             0.76473,             0.79209,             0.46545,            0.031364,           0.0083194,           0.0067374,            0.008713,            0.008713,            0.008713
                  15,            0.036443,            0.011733,           0.0073716,             0.89004,             0.78219,             0.79262,              0.4791,            0.030591,           0.0081404,           0.0049345,            0.008614,            0.008614,            0.008614
                  16,            0.036292,            0.011816,           0.0067791,             0.87265,             0.78858,             0.80094,             0.47953,             0.03051,           0.0080554,           0.0046591,            0.008515,            0.008515,            0.008515
                  17,            0.034493,            0.011343,           0.0075909,             0.82605,             0.77149,             0.77017,             0.46931,            0.030592,           0.0081601,           0.0055396,            0.008416,            0.008416,            0.008416
                  18,            0.035402,            0.011718,           0.0060613,             0.86601,             0.79604,             0.79655,             0.45558,            0.032663,           0.0079363,           0.0048358,            0.008317,            0.008317,            0.008317
                  19,            0.033906,            0.011376,           0.0064406,             0.90427,             0.74322,             0.79624,             0.50583,            0.030019,           0.0076753,           0.0048028,            0.008218,            0.008218,            0.008218
                  20,             0.03359,            0.011452,           0.0057112,             0.87531,              0.7735,             0.81169,             0.48974,             0.03015,           0.0078005,           0.0047849,            0.008119,            0.008119,            0.008119
                  21,            0.033171,            0.011361,           0.0053242,              0.9038,              0.7873,              0.8182,             0.52131,            0.031263,           0.0077232,           0.0044568,             0.00802,             0.00802,             0.00802
                  22,            0.032565,            0.010945,           0.0061714,             0.87001,             0.77335,             0.81371,             0.53915,            0.029027,           0.0078366,           0.0048093,            0.007921,            0.007921,            0.007921
                  23,             0.03172,            0.011142,           0.0056123,              0.8793,             0.80755,             0.81761,             0.53407,            0.026617,           0.0076914,           0.0043653,            0.007822,            0.007822,            0.007822
                  24,             0.03196,            0.011338,           0.0053377,             0.89347,             0.79149,             0.81074,              0.5328,            0.026032,           0.0077181,           0.0043873,            0.007723,            0.007723,            0.007723
                  25,            0.030053,            0.010743,           0.0052605,             0.89632,             0.75974,             0.81834,             0.52778,            0.027696,           0.0079188,           0.0042323,            0.007624,            0.007624,            0.007624
                  26,            0.030565,            0.010866,           0.0048857,             0.88987,             0.81103,             0.82109,             0.53632,            0.025807,            0.007378,           0.0038254,            0.007525,            0.007525,            0.007525
                  27,            0.030371,            0.010731,           0.0042861,             0.90557,             0.81248,             0.81998,             0.52622,            0.026502,           0.0073235,           0.0039704,            0.007426,            0.007426,            0.007426
                  28,            0.029373,            0.010448,           0.0046097,             0.92039,             0.80545,             0.82263,              0.5312,            0.026421,           0.0075296,           0.0036447,            0.007327,            0.007327,            0.007327
                  29,            0.029422,            0.010836,           0.0046639,             0.90676,             0.78221,             0.81144,             0.51887,            0.026705,            0.007867,           0.0038002,            0.007228,            0.007228,            0.007228
                  30,             0.02885,            0.010624,           0.0044209,             0.87765,             0.78917,             0.79673,             0.52067,            0.027481,           0.0079379,           0.0045489,            0.007129,            0.007129,            0.007129
                  31,            0.028409,            0.010818,           0.0053015,             0.91833,              0.7772,             0.81284,             0.54458,              0.0257,           0.0075235,           0.0036437,             0.00703,             0.00703,             0.00703
                  32,             0.02897,            0.010568,           0.0050318,             0.89764,             0.77885,             0.82157,             0.55572,            0.024754,           0.0077837,           0.0041347,            0.006931,            0.006931,            0.006931
