               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089514,            0.032552,            0.054497,             0.53237,             0.30786,             0.30166,             0.11132,            0.057333,            0.020762,            0.039972,            0.070205,           0.0033105,           0.0033105
                   1,            0.061977,            0.024799,            0.035215,             0.53984,             0.57524,             0.50765,             0.23766,            0.051045,             0.01437,            0.022997,             0.04014,           0.0065781,           0.0065781
                   2,            0.062772,            0.019817,            0.022436,             0.53008,             0.58779,             0.49964,                0.18,            0.055724,            0.012918,            0.015459,            0.010008,           0.0097796,           0.0097796
                   3,            0.056627,            0.018363,            0.015425,             0.64165,             0.70099,             0.60606,             0.29613,            0.045695,            0.012023,            0.010504,            0.009703,            0.009703,            0.009703
                   4,            0.049985,            0.017309,            0.010973,             0.75646,             0.73939,             0.71441,             0.36758,            0.040928,            0.011565,           0.0088425,            0.009703,            0.009703,            0.009703
                   5,            0.045242,            0.015717,            0.008915,             0.74688,              0.7701,             0.76528,             0.41357,            0.036018,            0.011585,           0.0073531,            0.009604,            0.009604,            0.009604
                   6,            0.042422,            0.015633,           0.0084476,             0.83719,             0.78287,              0.7892,             0.43722,            0.035677,            0.011453,           0.0075159,            0.009505,            0.009505,            0.009505
                   7,            0.040298,            0.015587,           0.0076581,             0.82168,             0.77762,              0.7857,             0.46019,            0.035212,            0.011673,           0.0070058,            0.009406,            0.009406,            0.009406
                   8,            0.038694,             0.01482,           0.0069039,             0.87733,             0.76594,             0.79886,             0.46898,            0.032412,             0.01074,           0.0065705,            0.009307,            0.009307,            0.009307
                   9,             0.03781,            0.015022,           0.0071728,             0.88562,             0.78509,             0.82953,             0.50146,            0.031312,            0.010943,           0.0067704,            0.009208,            0.009208,            0.009208
                  10,            0.037708,            0.015219,           0.0062098,             0.90114,             0.78896,             0.83024,             0.49308,            0.030125,              0.0111,           0.0062177,            0.009109,            0.009109,            0.009109
                  11,            0.036552,            0.015157,           0.0060596,             0.88523,             0.81187,             0.82826,             0.51006,            0.029468,            0.011174,           0.0052027,             0.00901,             0.00901,             0.00901
                  12,            0.034421,            0.014394,           0.0058402,             0.89329,             0.80279,              0.8502,             0.52819,            0.031284,            0.010704,           0.0052653,            0.008911,            0.008911,            0.008911
                  13,            0.034432,            0.014459,           0.0056432,             0.87421,             0.80045,             0.82297,             0.51226,            0.028828,            0.010989,           0.0049836,            0.008812,            0.008812,            0.008812
                  14,            0.034631,            0.014102,           0.0056621,             0.89043,             0.79467,             0.84249,             0.50788,            0.030937,            0.011125,           0.0058023,            0.008713,            0.008713,            0.008713
                  15,            0.033205,             0.01404,           0.0046703,             0.90623,             0.79969,             0.90287,              0.5609,            0.027579,            0.010854,           0.0053457,            0.008614,            0.008614,            0.008614
                  16,            0.032398,            0.013484,           0.0058822,             0.78988,             0.88258,             0.89154,             0.58423,            0.027885,            0.010493,           0.0054387,            0.008515,            0.008515,            0.008515
                  17,            0.032422,            0.014068,           0.0047318,             0.80337,             0.84273,             0.85851,             0.52679,            0.028315,            0.010624,            0.004698,            0.008416,            0.008416,            0.008416
                  18,            0.032217,            0.013504,           0.0047427,             0.78922,             0.90422,              0.8978,              0.5663,            0.027993,            0.010689,           0.0046657,            0.008317,            0.008317,            0.008317
                  19,            0.031641,            0.012866,           0.0043405,             0.84169,             0.86848,             0.90955,             0.59854,            0.026034,            0.010182,            0.004392,            0.008218,            0.008218,            0.008218
                  20,            0.031247,            0.013573,           0.0038121,             0.77518,             0.90797,             0.89143,             0.59122,            0.027788,            0.010234,           0.0041991,            0.008119,            0.008119,            0.008119
                  21,            0.030569,            0.013697,           0.0040057,             0.87844,              0.8983,             0.91468,             0.59695,             0.02685,           0.0098123,           0.0043675,             0.00802,             0.00802,             0.00802
                  22,            0.031155,            0.012745,           0.0039176,             0.90767,             0.89934,             0.93072,             0.64995,            0.025363,            0.010302,           0.0045882,            0.007921,            0.007921,            0.007921
                  23,            0.030485,            0.013359,           0.0040226,              0.8349,             0.91058,             0.89889,             0.62013,            0.024907,            0.010608,           0.0044392,            0.007822,            0.007822,            0.007822
                  24,            0.029691,            0.012705,           0.0035264,             0.89358,             0.87681,             0.91644,              0.6375,            0.024707,            0.010419,           0.0039454,            0.007723,            0.007723,            0.007723
                  25,            0.029609,            0.013346,           0.0035433,             0.89316,             0.86827,             0.89521,             0.59602,            0.026295,           0.0099125,           0.0037755,            0.007624,            0.007624,            0.007624
                  26,            0.028736,            0.012467,           0.0034371,             0.87451,             0.90357,             0.92408,             0.64486,            0.025127,            0.009813,           0.0037605,            0.007525,            0.007525,            0.007525
                  27,             0.02877,            0.012719,           0.0035406,              0.8972,             0.86459,             0.90606,             0.61336,              0.0249,             0.01106,           0.0037739,            0.007426,            0.007426,            0.007426
                  28,            0.028629,            0.012832,           0.0031838,             0.88289,             0.85838,             0.89171,             0.61057,            0.025873,            0.010115,           0.0040381,            0.007327,            0.007327,            0.007327
                  29,             0.02822,            0.012774,           0.0026369,              0.8784,             0.89588,             0.90863,             0.62551,            0.026434,           0.0099639,            0.003126,            0.007228,            0.007228,            0.007228
                  30,            0.028609,            0.012954,           0.0029168,             0.89922,             0.88473,             0.91302,             0.63614,            0.025428,             0.01035,           0.0031635,            0.007129,            0.007129,            0.007129
                  31,            0.027875,             0.01217,           0.0027891,             0.87931,             0.89919,             0.91369,             0.63372,            0.026372,           0.0097921,           0.0034167,             0.00703,             0.00703,             0.00703
                  32,             0.02821,            0.012517,           0.0024446,             0.90146,             0.88734,             0.90631,              0.6113,            0.026149,            0.010654,           0.0034337,            0.006931,            0.006931,            0.006931
                  33,            0.027453,             0.01205,           0.0020603,             0.84405,             0.90322,             0.89188,             0.63034,            0.023943,            0.010211,           0.0033682,            0.006832,            0.006832,            0.006832
                  34,            0.027605,            0.012682,           0.0027144,             0.88675,             0.89892,             0.92772,             0.65948,            0.024692,            0.010131,           0.0020916,            0.006733,            0.006733,            0.006733
                  35,            0.026874,            0.012439,           0.0023624,             0.89194,             0.85698,             0.88741,             0.60963,            0.025469,             0.01053,           0.0030024,            0.006634,            0.006634,            0.006634
                  36,            0.027157,            0.012106,           0.0022486,             0.90101,             0.86328,             0.90962,             0.63636,            0.023718,           0.0096621,           0.0029812,            0.006535,            0.006535,            0.006535
                  37,            0.027061,            0.012073,           0.0020566,             0.90507,             0.84885,             0.90407,             0.62866,            0.026082,            0.010295,           0.0033306,            0.006436,            0.006436,            0.006436
                  38,            0.025922,            0.012213,           0.0021351,             0.91266,              0.8484,             0.90359,             0.62795,             0.02531,            0.010172,           0.0030135,            0.006337,            0.006337,            0.006337
                  39,            0.026458,            0.012144,           0.0021096,             0.86581,             0.91606,             0.92069,             0.66258,            0.025654,            0.010333,           0.0026319,            0.006238,            0.006238,            0.006238
